Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Sim,"Palestras à noite, Tutoriais","Segunda-feira, Domingo",Alta,Alta,Muito alta,Alta,Muito alta,Alta,Bom,Excelente,Bom,Bom,Muito alta,Média,Acessibilidade do evento,Custo do transporte,,,
Sim,"Palestras à tarde, Palestras à noite",Segunda-feira,Muito alta,,Muito alta,,,,,,,,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte",,,
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Excelente,Bom,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,,Ter q me locomover e ficar lá pra esperando para assistir as pasletras q me interessam.,,
Sim,"Rodas de conversa, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Conectividade,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Excelente,Não se aplica,Muito alta,Média,Não tem impeditivo,"Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos","Sendo presencial seria muito complicado para mim, pois minhas filhas são pequenas e fora o custo com passagem, estadia e alimentação durante o evento.","Sendo online, sugiro ter mais tutoriais, fora os tutoriais do final de semana, ter durante as manhãs antes ou após as mesas redondas.",Queria muito ter conseguido participar de algum tutorial.
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Alta,Muito alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,É preciso esperar e ver se teremos uma evolução com as vacinas,Está em um nível excelente,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Não tenho interesse em eventos on-line,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Palestras à tarde, Palestras à noite","Quarta-feira, Quinta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,Mais vaga ou melhor distribuição das vagas dos tutoriais.,
Não,"Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Média,Alta,Não se aplica,Alta,Bom,Indiferente,Bom,Não se aplica,Muito alta,Muito baixa,Não tenho impedimento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",moro no nordeste e os custo com passagens são bem altos.,As palestras podiam ter duração flexíveis. Algumas palestra era notável que o palestrante estava enrolando para poder da tempo. Já outras o palestrante tinha que apressar para dar tempo.,Foi muito maravilhoso.
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Muito alta,Excelente,Excelente,Bom,Não se aplica,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte","Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?

 - Horários das atividades incompatíveis com agenda: dia de semana à tarde geralmente pode ser complicado de acompanhar. E a pausa para jantar pequena também fica complicado.
- Conectividade: meu provedor inventa de fazer umas manutenções nas hora mais incovenientes.
- Ferramentas utilizadas no evento: se for usar ferramentas como o Hopin, a usabilidade mobile é extremamente difícil. A escolha do Youtube + Discord ainda é melhor. Seria melhor ainda se o Youtube oferecesse picture-in-picture na versão premium, mas pra quem consegue dividir a tela do celular funciona tranquilo.

Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?

- Insegurança relacionada a pandemia COVID-19: autoexplicativo, mas se o espaço não fosse fechado, houvesse fornecimento de álcool e máscaras, o uso de  máscaras fosse obrigatório e houvesse uma equipe para verificar esse uso durante o evento eu acharia satisfatório.
- Custo do transporte: A viagem PE - RS é longa huaauheauhu, mas tive dois anos pra juntar já né :)","Se for online, simular os corredores pós-palestra é algo importante que deve entrar no formato. Fica bagunçado conversar com o palestrante no começo da próxima palestra. Algumas pessoas criaram mesas mas não foi o padrão.

Se for presencial, o que mencionei na pergunta anterior sobre o COVID.",Foi ótima ;) Parabéns mesmo. Acho que foi o melhor evento online que participei até agora
Sim,"Rodas de conversa, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,Para eu ir teria que me programar para tirar umas folgas ou ferias,,"Primeiramente agradeço a todos que doaram seu tempo para espalhar o conhecimento, desta vez participei apenas como ouvinte, não fiz nenhum comentário, não participei das mesas de conversas, pois estou iniciante no estudo da linguagem python, mas amei todas as palestras e Keynotes que consegui assistir, pois me motivaram a persistir no estudo e gostaria de ser membro da python brasil. "
Sim,Palestras à tarde,Quarta-feira,,,Alta,,,,,Bom,,,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,Palestras à tarde,"Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Não ter ninguém com quem deixar os filhos,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos",,,
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira",Muito alta,Alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso","Infelizmente o país é muito grande, e dependendo de onde será realizada, não poderia comparecer por dificuldade financeira.","Seria interessante criarem um grupo de juniores que possam ser tutorados por alguém, assim todos nos sentiríamos melhor por ser ajudado ou ajudar!",Espero na próxima python Br poder apresentar uma palestra!
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Média,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,Se for on line participarei novamente,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Bom,Bom,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Média,Muito alta,"Esse ano foi um ano muito difícil pra todo mundo. Como eu trabalhei de casa e não saí pra quase nada, participar do evento pareceu que eu estava trabalhando, o que me desanimou de acompanhar ao vivo. Ano que vem, se não tivemos mais em pandemia (esperamos!), talvez a vibe seja outra.","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa","Moro no sudeste e se o evento ocorrer nas regiões mais ao norte, o custo com transporte fica relativamente alto. No caso de ônibus, viajar por diversas horas me faz um mal danado. Sobre a empresa, talvez só consiga ir se eu tirar férias. :(",O pouco que acompanhei eu achei excepcional. Fui um dos palestrantes e tudo ocorreu em perfeita harmonia.,
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Sábado, Domingo",Alta,Não se aplica,Alta,Média,Alta,Alta,Bom,Bom,Excelente,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,"Não temos como garantir se vacinas para COVID-19 estarão disponíveis para todos, e existe um grande movimento anti-vacina, inclusive manifestado por políticos como nosso presidente. Sendo presencial, deveria ser obrigatório apresentação de comprovante de vacina contra COVID-19. Pode parecer discriminação, mas é muito importante para garantir a segurança de todos em um evento presencial.","Tentar utilizar mais os horários da noite, mesmo que o evento acabe ficando um pouco mais longo. E deixar todas as salas/canais abertos para que as pessoas possam posteriormente acessar/baixar links disponibilizados nos tutoriais. No meu caso gostaria de ter feito tutoriais de Machine Learning, mas as vagas já haviam acabado no momento da minha inscrição.",Parabéns pelo trabalho! Muito bem coordenado e organizado
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira",Média,Média,Alta,Alta,Muito baixa,Muito baixa,Bom,Bom,Não se aplica,Não se aplica,Alta,Média,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa",,"Não exigir repassar número de celular para participar do Discord. PRIVACIDADE dos dados pessoais das pessoas participantes - principalmente se for presencial. Não repasse e-mails ou outros dados para patrocinadores. PERGUNTE qual nome a pessoa deseja ser identificada perante o público antes de expô-la. OFEREÇA possibilidade da pessoa não ser filmada/fotografada, inclusive palestrantes.",Experiência prejudicada porque não tive acesso ao Discord.
Não,"Palestras à tarde, Keynotes","Segunda-feira, Quarta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Muito alta,,Muito alta,Muito alta,Alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Muito alta,Alta,Não se aplica,Excelente,Bom,Excelente,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Domingo",Muito alta,,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia",,,
Sim,,,Muito baixa,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Bom,Não se aplica,Bom,Não se aplica,Alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,Não consegui acessar o evento,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia","Não estou morando atualmente no Brasil, então teria o custo da viagem, estadia, alimentação a serem levados em conta.","Poderíamos ter mais vagas nos tutoriais e deixar mais claro para qual nível aquele tutorial é recomendado (seguindo a mesma ideia das palestras). Eu fiquei com dúvida quanto ao nível de conhecimento que precisaria para me inscrever em alguns deles. Acabei perguntando aos palestrantes, mas ter essa informação junto com a descrição do tutorial poderia me ajudar a decidir qual posso me inscrever com mais clareza.","Sim! Queria agradecer a toda equipe da organização, palestrantes e todos que contribuíram para que fosse lindo e muito divertido esse evento. Foi a minha primeira PyBr e posso dizer que senti ""o clima"" bacana do evento! Adorei que o Discord trouxe um dinamismo bem interessante fazendo com que eu tivesse a oportunidade de conversar com várias pessoas sem tanta vergonha (como talvez fosse acontecer no presencial). Muito obrigada, vocês foram demais!"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,,Dificuldade em liberação pela empresa,Depende da localização e da semana escolhida.,,"Algumas palestras foram muito práticas pra minha experiência profissional.
Somente tenho a agradecer por pessoas dedicarem de seu tempo pra dividir suas experiências e conhecimento."
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,,Alta,Bom,Bom,Bom,Bom,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia, Custo do ingresso","Minha maior dificuldade ao participar de um evento presencial é o dinheiro, pois Caxias do Sul é bem longe de mim, e estou desempregado.","Mesmo que esteja possível fazer eventos presenciais, mantenham essa dinâmica online pelo Discord/YouTube, para que quem não tenha condições de ir ainda possa participar. Ou algum tipo de facilitador para negociação de local e ingresso, para que quem não esteja com tanto dinheiro ainda consiga ir.","Estão de parabéns!! Foi a minha primeira e eu fiquei apaixonado pelo evento e pela comunidade. Não vou perder mais nenhuma, essa é a meta kkkkkkk."
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Conectividade,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",Ser dispensado mais de um dia do trabalho é um problema. Dependendo a distância o custo da viagem mais estadia pode ser um pouco caro e dificultar a participação no evento.,,"A disponibilização das palestras na internet funciona bem como uma certa democratização do conteúdo, os temas foram maravilhoso, principalmente as palestras mais sociais. Foi bem interessante essa primeira participação."
Sim,"Palestras à tarde, Palestras à noite",Quinta-feira,,,Alta,,,,Excelente,Excelente,,,Muito alta,Baixa,,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Sim,Palestras à noite,Domingo,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,nenhum,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa, Acessibilidade do evento",todas as respostas,creio que com mais mao na massa,foi ottimo
